epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,3699.68,1.51793,1.05305,0.90345,0.42476,0.33009,0.32661,0.18651,1.44366,1.02165,0.89563,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3784.51,1.50877,1.03969,0.90152,0.42278,0.33352,0.32816,0.18656,1.44066,1.01575,0.89618,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3872.76,1.50754,1.03967,0.8995,0.42792,0.32482,0.32553,0.1857,1.44523,1.01948,0.89596,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3958.46,1.50827,1.03717,0.90121,0.43195,0.33716,0.33263,0.19085,1.44097,1.01383,0.89607,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4043.39,1.49585,1.02888,0.89964,0.42891,0.3375,0.33247,0.18983,1.43408,1.01022,0.89459,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4125.73,1.49222,1.02577,0.89878,0.42956,0.33231,0.33115,0.19003,1.43326,1.01136,0.89426,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4211.68,1.49391,1.02656,0.8969,0.42551,0.32855,0.32961,0.18919,1.43629,1.01231,0.89477,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4292.78,1.49675,1.02067,0.89859,0.4346,0.33694,0.33359,0.19151,1.43203,1.00936,0.89505,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4375.8,1.48846,1.0229,0.89813,0.43254,0.32858,0.33228,0.19005,1.43472,1.01005,0.89472,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4462.71,1.49139,1.02114,0.89741,0.43165,0.33212,0.33282,0.19038,1.4343,1.00818,0.89431,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
