epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,9691.68,2.18193,1.58194,0.00327,0.41182,0.30504,0.30375,0.16087,2.12822,1.49903,0.00379,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,9847.14,2.17699,1.57536,0.00325,0.41199,0.31297,0.30511,0.16277,2.1203,1.48904,0.00376,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,10005.5,2.16636,1.56663,0.00324,0.40195,0.31819,0.30963,0.16238,2.13978,1.48805,0.00384,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,10151.7,2.17198,1.56719,0.00325,0.4057,0.31388,0.3065,0.16122,2.14219,1.48876,0.00383,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,10308,2.15757,1.56033,0.00325,0.40172,0.31347,0.30651,0.16089,2.13565,1.48306,0.0038,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,10473.6,2.16811,1.57113,0.00323,0.40924,0.32026,0.31081,0.16383,2.13402,1.48467,0.00381,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,10635.1,2.16054,1.55925,0.00321,0.41184,0.31925,0.31432,0.16739,2.12009,1.48571,0.00377,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,10816.3,2.16031,1.55838,0.00322,0.41556,0.31558,0.31431,0.16419,2.14057,1.48519,0.00383,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,11002.3,2.16212,1.55872,0.0032,0.41789,0.31786,0.31359,0.16552,2.12225,1.48294,0.00377,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,11178.7,2.16458,1.55227,0.0032,0.41536,0.31838,0.3114,0.16507,2.11926,1.47673,0.00376,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
