epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,4617.67,1.54751,1.08401,0.90756,0.43666,0.32208,0.31943,0.18178,1.46302,1.04715,0.89814,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4709.56,1.53433,1.07546,0.90662,0.44221,0.31898,0.32198,0.18394,1.45704,1.04036,0.89767,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4800.64,1.53048,1.07243,0.90542,0.42871,0.32344,0.32332,0.18527,1.45812,1.03853,0.89707,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4891.78,1.53144,1.07208,0.90308,0.42928,0.32578,0.32167,0.18314,1.45641,1.03678,0.89776,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4982.95,1.53597,1.0673,0.9054,0.43883,0.32163,0.32251,0.18399,1.45793,1.03598,0.89798,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5073.87,1.52892,1.07099,0.90473,0.4306,0.32705,0.32441,0.18391,1.45635,1.03709,0.89691,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5165.16,1.52742,1.06491,0.9032,0.42513,0.32423,0.32264,0.18396,1.45307,1.03576,0.89691,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5256.39,1.52224,1.05995,0.90367,0.42435,0.32468,0.32268,0.18501,1.45516,1.03404,0.89754,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5347.96,1.52207,1.05754,0.90297,0.44482,0.31906,0.32289,0.18422,1.45594,1.03387,0.8958,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5439.26,1.52491,1.05918,0.90328,0.43293,0.32777,0.32438,0.18539,1.45063,1.03074,0.89631,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5530.94,1.53027,1.06503,0.90238,0.42888,0.32783,0.32234,0.18459,1.44761,1.03042,0.89559,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5621.55,1.51388,1.05364,0.90211,0.43257,0.32361,0.32283,0.18348,1.45062,1.03172,0.89603,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5712.24,1.52338,1.05564,0.9014,0.43167,0.32741,0.32512,0.18502,1.44805,1.0276,0.89612,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5802.97,1.51874,1.05169,0.90126,0.43484,0.33116,0.32514,0.18534,1.44848,1.02716,0.89548,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5893.1,1.51518,1.05039,0.90084,0.42665,0.33169,0.32717,0.18608,1.44898,1.02579,0.89562,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5984.5,1.50036,1.03569,0.89793,0.4394,0.32489,0.32581,0.18601,1.4487,1.02646,0.89449,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6076.53,1.50423,1.04322,0.90152,0.43983,0.32837,0.32912,0.18715,1.44786,1.02479,0.8946,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6170.27,1.51629,1.04408,0.89718,0.43092,0.32963,0.32616,0.18616,1.44494,1.02444,0.89403,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6262.94,1.50513,1.03789,0.8984,0.43616,0.33098,0.33042,0.18917,1.4414,1.02202,0.89365,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6355.75,1.49595,1.034,0.89905,0.44342,0.33118,0.33247,0.19003,1.43984,1.01903,0.89328,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
